[2026-01-22 16:22:48] ============================================================
[2026-01-22 16:22:48] Updater started
[2026-01-22 16:22:48] Download URL: https://github.com/mahinkhan1408/TVL/releases/download/v1.0.0/PreservationApp.exe
[2026-01-22 16:22:48] Target EXE: C:\Scr\TVL\dist\PreservationApp.exe
[2026-01-22 16:22:48] Version: 1.0.0
[2026-01-22 16:22:48] Expected SHA256: 758B2000587DBDE3...
[2026-01-22 16:22:48] Waiting for PreservationApp.exe to exit...
[2026-01-22 16:22:49] PreservationApp.exe has exited
[2026-01-22 16:22:50] Backup created: C:\Scr\TVL\dist\PreservationApp.exe.backup
[2026-01-22 16:22:50] Downloading from https://github.com/mahinkhan1408/TVL/releases/download/v1.0.0/PreservationApp.exe...
[2026-01-22 16:22:52] Downloaded 81920/39971592 bytes (0.2%)
[2026-01-22 16:22:52] Downloaded 163840/39971592 bytes (0.4%)
[2026-01-22 16:22:52] Downloaded 245760/39971592 bytes (0.6%)
[2026-01-22 16:22:52] Downloaded 327680/39971592 bytes (0.8%)
[2026-01-22 16:22:53] Downloaded 409600/39971592 bytes (1.0%)
[2026-01-22 16:22:53] Downloaded 491520/39971592 bytes (1.2%)
[2026-01-22 16:22:53] Downloaded 573440/39971592 bytes (1.4%)
[2026-01-22 16:22:53] Downloaded 655360/39971592 bytes (1.6%)
[2026-01-22 16:22:53] Downloaded 737280/39971592 bytes (1.8%)
[2026-01-22 16:22:53] Downloaded 819200/39971592 bytes (2.0%)
[2026-01-22 16:22:53] Downloaded 901120/39971592 bytes (2.3%)
[2026-01-22 16:22:53] Downloaded 983040/39971592 bytes (2.5%)
[2026-01-22 16:22:53] Downloaded 1064960/39971592 bytes (2.7%)
[2026-01-22 16:22:53] Downloaded 1146880/39971592 bytes (2.9%)
[2026-01-22 16:22:53] Downloaded 1228800/39971592 bytes (3.1%)
[2026-01-22 16:22:53] Downloaded 1310720/39971592 bytes (3.3%)
[2026-01-22 16:22:53] Downloaded 1392640/39971592 bytes (3.5%)
[2026-01-22 16:22:53] Downloaded 1474560/39971592 bytes (3.7%)
[2026-01-22 16:22:53] Downloaded 1556480/39971592 bytes (3.9%)
[2026-01-22 16:22:53] Downloaded 1638400/39971592 bytes (4.1%)
[2026-01-22 16:22:53] Downloaded 1720320/39971592 bytes (4.3%)
[2026-01-22 16:22:53] Downloaded 1802240/39971592 bytes (4.5%)
[2026-01-22 16:22:54] Downloaded 1884160/39971592 bytes (4.7%)
[2026-01-22 16:22:54] Downloaded 1966080/39971592 bytes (4.9%)
[2026-01-22 16:22:54] Downloaded 2048000/39971592 bytes (5.1%)
[2026-01-22 16:22:54] Downloaded 2129920/39971592 bytes (5.3%)
[2026-01-22 16:22:54] Downloaded 2211840/39971592 bytes (5.5%)
[2026-01-22 16:22:54] Downloaded 2293760/39971592 bytes (5.7%)
[2026-01-22 16:22:54] Downloaded 2375680/39971592 bytes (5.9%)
[2026-01-22 16:22:54] Downloaded 2457600/39971592 bytes (6.1%)
[2026-01-22 16:22:54] Downloaded 2539520/39971592 bytes (6.4%)
[2026-01-22 16:22:54] Downloaded 2621440/39971592 bytes (6.6%)
[2026-01-22 16:22:54] Downloaded 2703360/39971592 bytes (6.8%)
[2026-01-22 16:22:54] Downloaded 2785280/39971592 bytes (7.0%)
[2026-01-22 16:22:54] Downloaded 2867200/39971592 bytes (7.2%)
[2026-01-22 16:22:54] Downloaded 2949120/39971592 bytes (7.4%)
[2026-01-22 16:22:54] Downloaded 3031040/39971592 bytes (7.6%)
[2026-01-22 16:22:54] Downloaded 3112960/39971592 bytes (7.8%)
[2026-01-22 16:22:54] Downloaded 3194880/39971592 bytes (8.0%)
[2026-01-22 16:22:54] Downloaded 3276800/39971592 bytes (8.2%)
[2026-01-22 16:22:55] Downloaded 3358720/39971592 bytes (8.4%)
[2026-01-22 16:22:55] Downloaded 3440640/39971592 bytes (8.6%)
[2026-01-22 16:22:55] Downloaded 3522560/39971592 bytes (8.8%)
[2026-01-22 16:22:55] Downloaded 3604480/39971592 bytes (9.0%)
[2026-01-22 16:22:55] Downloaded 3686400/39971592 bytes (9.2%)
[2026-01-22 16:22:55] Downloaded 3768320/39971592 bytes (9.4%)
[2026-01-22 16:22:55] Downloaded 3850240/39971592 bytes (9.6%)
[2026-01-22 16:22:55] Downloaded 3932160/39971592 bytes (9.8%)
[2026-01-22 16:22:55] Downloaded 4014080/39971592 bytes (10.0%)
[2026-01-22 16:22:55] Downloaded 4096000/39971592 bytes (10.2%)
[2026-01-22 16:22:55] Downloaded 4177920/39971592 bytes (10.5%)
[2026-01-22 16:22:55] Downloaded 4259840/39971592 bytes (10.7%)
[2026-01-22 16:22:55] Downloaded 4341760/39971592 bytes (10.9%)
[2026-01-22 16:22:55] Downloaded 4423680/39971592 bytes (11.1%)
[2026-01-22 16:22:55] Downloaded 4505600/39971592 bytes (11.3%)
[2026-01-22 16:22:55] Downloaded 4587520/39971592 bytes (11.5%)
[2026-01-22 16:22:55] Downloaded 4669440/39971592 bytes (11.7%)
[2026-01-22 16:22:55] Downloaded 4751360/39971592 bytes (11.9%)
[2026-01-22 16:22:55] Downloaded 4833280/39971592 bytes (12.1%)
[2026-01-22 16:22:55] Downloaded 4915200/39971592 bytes (12.3%)
[2026-01-22 16:22:56] Downloaded 4997120/39971592 bytes (12.5%)
[2026-01-22 16:22:56] Downloaded 5079040/39971592 bytes (12.7%)
[2026-01-22 16:22:56] Downloaded 5160960/39971592 bytes (12.9%)
